CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,PastEnrollments,PastRevenue,PastAverageRevenue,PastRevenueStd,UniqueUsers,FutureEnrollments,FutureRevenue,DurationBucket,PriceBand,RatingTier,ExperienceBucket,ExpertiseMatch
CR00013,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,131,0.0,0.0,0.0,131,39,0.0,Medium,Free,Low,Senior,0
CR00014,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,127,0.0,0.0,0.0,127,44,0.0,Medium,Free,Medium,Senior,0
CR00015,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,125,35631.25,285.05,0.0,125,43,12257.15,Long,Medium,Low,Senior,0
CR00016,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,109,0.0,0.0,0.0,109,44,0.0,Long,Free,High,Senior,0
CR00017,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,121,0.0,0.0,0.0,121,37,0.0,Long,Free,High,Senior,0
CR00018,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,123,0.0,0.0,0.0,123,40,0.0,Medium,Free,Low,Senior,0
CR00019,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,133,0.0,0.0,0.0,133,44,0.0,Medium,Free,Low,Senior,0
CR00020,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,113,0.0,0.0,0.0,113,42,0.0,Long,Free,High,Senior,0
CR00021,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,147,0.0,0.0,0.0,147,49,0.0,Short,Free,Medium,Senior,0
CR00022,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,136,0.0,0.0,0.0,136,41,0.0,Long,Free,Medium,Senior,0
CR00023,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,143,0.0,0.0,0.0,143,42,0.0,Short,Free,Medium,Senior,0
CR00024,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,121,14239.28,117.68,0.0,121,45,5295.6,Long,Low,Low,Senior,0
CR00025,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,151,45235.07,299.57,0.0,151,41,12282.369999999999,Long,Medium,Medium,Senior,0
CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,139,0.0,0.0,0.0,139,33,0.0,Long,Free,High,Senior,1
CR00027,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,114,0.0,0.0,0.0,114,38,0.0,Short,Free,Low,Senior,1
CR00028,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,141,109.98,0.78,0.0,141,30,23.400000000000002,Long,Low,Medium,Senior,1
CR00029,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,123,0.0,0.0,0.0,123,32,0.0,Medium,Free,Low,Senior,1
CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,119,0.0,0.0,0.0,119,50,0.0,Long,Free,Low,Senior,1
CR00031,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,118,0.0,0.0,0.0,118,42,0.0,Long,Free,Low,Senior,1
CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,120,0.0,0.0,0.0,120,43,0.0,Medium,Free,Low,Senior,1
CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,135,0.0,0.0,0.0,135,32,0.0,Long,Free,Medium,Senior,1
CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,109,42974.34,394.26,0.0,109,41,16164.66,Long,High,Low,Senior,1
CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,136,0.0,0.0,0.0,136,43,0.0,Long,Free,High,Senior,1
CR00036,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,130,0.0,0.0,0.0,130,47,0.0,Medium,Free,High,Senior,0
CR00037,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,123,0.0,0.0,0.0,123,30,0.0,Long,Free,Medium,Senior,0
CR00038,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,118,40427.98,342.61,0.0,118,40,13704.400000000001,Medium,High,High,Senior,0
CR00039,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,124,42992.04,346.71,0.0,124,43,14908.529999999999,Short,High,Low,Senior,0
CR00040,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,126,41326.74,327.99,0.0,126,48,15743.52,Medium,High,Low,Senior,0
CR00041,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,122,6570.92,53.86,0.0,122,44,2369.84,Long,Low,Low,Senior,0
CR00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,146,0.0,0.0,0.0,146,37,0.0,Long,Free,High,Senior,0
CR00043,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,129,0.0,0.0,0.0,129,53,0.0,Long,Free,High,Senior,0
CR00044,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,126,14999.04,119.04,0.0,126,35,4166.400000000001,Medium,Low,Low,Senior,0
CR00045,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,131,0.0,0.0,0.0,131,41,0.0,Short,Free,Low,Senior,0
CR00046,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,110,27291.0,248.1,0.0,110,30,7443.0,Short,Medium,Low,Senior,0
CR00047,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,122,10929.98,89.59,0.0,122,44,3941.96,Short,Low,Low,Senior,0
CR00048,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,143,0.0,0.0,0.0,143,43,0.0,Long,Free,Medium,Senior,0
CR00049,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,115,47783.65,415.51,0.0,115,48,19944.48,Long,High,Medium,Senior,0
CR00050,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,131,64307.899999999994,490.9,0.0,131,43,21108.7,Short,High,High,Senior,0
CR00051,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,129,4887.81,37.89,0.0,129,42,1591.38,Medium,Low,Low,Senior,0
CR00052,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,125,0.0,0.0,0.0,125,29,0.0,Long,Free,Low,Senior,0
CR00053,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,123,0.0,0.0,0.0,123,40,0.0,Long,Free,Low,Senior,0
CR00054,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,129,0.0,0.0,0.0,129,49,0.0,Long,Free,Medium,Senior,0
CR00055,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,132,7566.24,57.32,0.0,132,46,2636.72,Long,Low,High,Senior,0
CR00056,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,115,24424.85,212.39,0.0,115,33,7008.87,Medium,Medium,Medium,Senior,0
CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,118,20926.12,177.34,0.0,118,22,3901.48,Long,Medium,Medium,Senior,0
CR00058,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,140,0.0,0.0,0.0,140,54,0.0,Short,Free,High,Senior,0
CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,132,0.0,0.0,0.0,132,29,0.0,Short,Free,High,Senior,0
CR00060,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,117,0.0,0.0,0.0,117,48,0.0,Short,Free,Low,Senior,0
